Run_ID,transaction_id,sequence_id,sequence_name,txn_type,start_time_ns,end_time_ns,clock_cycle,channel_id,src_id,dst_id,priority,addr,wdata,rdata,expected_data,observed_data,checker_result,error_id,opcode,PADDR,PWRITE,PWDATA,PRDATA,PSEL,PENABLE,PREADY,PSLVERR,PSTRB,uart_tx_byte,uart_rx_byte,parity_error,framing_error,irq_out
RUN-000004,RUN-000004-T0000,RUN-000004-S00,reset_recovery_seq,WRITE,6034,6237,603,0,0,2,2,0xad0f,0x2fd43c5b,,0x2fd43c5b,0x2fd43c5b,MATCH,,APB_WR,0xad0f,1,0x2fd43c5b,,2,1,1,0,0xe,0x4c,0x96,0,0,0
RUN-000004,RUN-000004-T0001,RUN-000004-S00,reset_recovery_seq,WRITE,17218,17272,1721,2,0,3,2,0xc1ef,0xb28a53cf,,0xb28a53cf,0xb28a53cf,MATCH,,APB_WR,0xc1ef,1,0xb28a53cf,,1,1,1,0,0x5,0x03,0x77,0,0,0
RUN-000004,RUN-000004-T0002,RUN-000004-S00,reset_recovery_seq,READ,17613,17704,1761,0,1,3,1,0xa654,,0x41f9eab9,0x41f9eab9,0x41f9eab9,MATCH,,APB_RD,0xa654,0,,0x41f9eab9,2,1,1,0,,0xf2,0x37,0,0,0
RUN-000004,RUN-000004-T0003,RUN-000004-S00,reset_recovery_seq,READ,32703,32860,3270,0,2,3,0,0x704c,,0xa779b14f,0xa779b14f,0xa779b14f,MATCH,,APB_RD,0x704c,0,,0xa779b14f,1,1,1,0,,0x8c,0x86,0,0,0
RUN-000004,RUN-000004-T0004,RUN-000004-S01,reset_recovery_seq,READ,59702,59724,5970,2,2,0,3,0x0b90,,0x57d60ed2,0x57d60ed2,0x57d60ed2,MATCH,,APB_RD,0x0b90,0,,0x57d60ed2,1,1,1,0,,0x4c,0x5c,0,0,0
RUN-000004,RUN-000004-T0005,RUN-000004-S01,reset_recovery_seq,WRITE,64606,64627,6460,1,3,1,2,0x3a03,0x70d23dac,,0x70d23dac,0x70d23dac,MATCH,,APB_WR,0x3a03,1,0x70d23dac,,1,1,1,0,0x3,0x89,0xe5,0,0,0
RUN-000004,RUN-000004-T0006,RUN-000004-S01,reset_recovery_seq,READ,86355,86531,8635,2,2,2,1,0x3dc4,,0x710a037f,0x710a037f,0x710a037f,MATCH,,APB_RD,0x3dc4,0,,0x710a037f,4,1,1,0,,0xaa,0x4d,0,0,0
RUN-000004,RUN-000004-T0007,RUN-000004-S01,reset_recovery_seq,READ,87816,88006,8781,2,2,1,2,0xcdaf,,0x4606b68a,0x4606b68a,0x4606b68a,MATCH,,APB_RD,0xcdaf,0,,0x4606b68a,3,1,1,0,,0x34,0xd8,0,0,0
RUN-000004,RUN-000004-T0008,RUN-000004-S02,reset_recovery_seq,READ,95056,95311,9505,2,0,2,3,0x11b1,,0xa612d039,0xa612d039,0xa612d039,MATCH,,APB_RD,0x11b1,0,,0xa612d039,4,1,1,0,,0xc5,0x67,0,0,0
RUN-000004,RUN-000004-T0009,RUN-000004-S02,reset_recovery_seq,READ,104731,105110,10473,0,3,2,0,0xc044,,0x9091eb11,0x9091eb11,0x9091eb11,MATCH,,APB_RD,0xc044,0,,0x9091eb11,4,1,1,0,,0xb6,0x41,0,0,0
RUN-000005,RUN-000005-T0000,RUN-000005-S00,parity_stress_seq,READ,4385,4709,877,1,0,2,3,0x528d,,0x19a25cae,0x19a25cae,0x19a25cae,MATCH,,APB_RD,0x528d,0,,0x19a25cae,1,1,1,0,,0x81,0x19,0,0,0
RUN-000005,RUN-000005-T0001,RUN-000005-S00,parity_stress_seq,READ,7428,7626,1485,1,3,1,2,0x60b0,,0xf6212063,0xf6212063,0xf6212063,MATCH,,APB_RD,0x60b0,0,,0xf6212063,1,1,1,0,,0x5f,0xa1,0,0,0
RUN-000005,RUN-000005-T0002,RUN-000005-S00,parity_stress_seq,READ,8833,8903,1766,0,0,2,0,0x281f,,0x28e903f4,0x28e903f4,0x28e903f4,MATCH,,APB_RD,0x281f,0,,0x28e903f4,2,1,1,0,,0xb1,0xc2,0,0,0
RUN-000005,RUN-000005-T0003,RUN-000005-S00,parity_stress_seq,WRITE,14759,15034,2951,1,2,3,1,0xa4af,0x78dcc5ad,,0x78dcc5ad,0x78dcc5ad,MATCH,,APB_WR,0xa4af,1,0x78dcc5ad,,2,1,1,0,0x7,0x5e,0xf1,0,0,0
RUN-000005,RUN-000005-T0004,RUN-000005-S01,parity_stress_seq,READ,16917,,3383,1,1,2,0,0xe5df,,,0x35215eb2,,TIMEOUT,B_APB_0x58,APB_RD,0xe5df,0,,,1,1,0,0,,0xa9,0x7e,0,0,0
RUN-000005,RUN-000005-T0005,RUN-000005-S01,parity_stress_seq,READ,24867,25195,4973,0,3,3,0,0xfd37,,0xe21cc3ae,0xe21cc3ae,0xe21cc3ae,MATCH,,APB_RD,0xfd37,0,,0xe21cc3ae,1,1,1,0,,0x43,0x63,0,0,0
RUN-000005,RUN-000005-T0006,RUN-000005-S01,parity_stress_seq,WRITE,25042,25210,5008,1,3,1,0,0x90a4,0xca2cbcae,,0xca2cbcae,0xca2cbcae,MATCH,,APB_WR,0x90a4,1,0xca2cbcae,,2,1,1,0,0x2,0x26,0x79,0,0,0
RUN-000005,RUN-000005-T0007,RUN-000005-S01,parity_stress_seq,READ,25483,25755,5096,1,3,1,1,0xf661,,0x6b779ffd,0x6b779ffd,0x6b779ffd,MATCH,,APB_RD,0xf661,0,,0x6b779ffd,2,1,1,0,,0xa0,0xb5,0,0,0
RUN-000005,RUN-000005-T0008,RUN-000005-S02,parity_stress_seq,READ,26903,27065,5380,0,2,1,3,0xaee6,,0x32c18f39,0x32c18f39,0x32c18f39,MATCH,,APB_RD,0xaee6,0,,0x32c18f39,2,1,1,0,,0xca,0xcd,0,0,0
RUN-000005,RUN-000005-T0009,RUN-000005-S02,parity_stress_seq,READ,28956,29104,5791,1,3,0,2,0xc835,,0x97a62a6d,0x97a62a6d,0x97a62a6d,MATCH,,APB_RD,0xc835,0,,0x97a62a6d,2,1,1,0,,0xa9,0x24,0,0,0
RUN-000006,RUN-000006-T0000,RUN-000006-S00,reg_sweep_seq,READ,3863,4153,193,1,3,2,1,0xe51f,,0xc4c003b1,0xc4c003b1,0xc4c003b1,MATCH,,APB_RD,0xe51f,0,,0xc4c003b1,2,1,1,0,,0x88,0xe7,0,0,0
RUN-000006,RUN-000006-T0001,RUN-000006-S00,reg_sweep_seq,WRITE,8148,8177,407,1,0,0,0,0x1bc9,0x8e0e2baf,,0x8e0e2baf,0x8e0e2baf,MATCH,,APB_WR,0x1bc9,1,0x8e0e2baf,,2,1,1,0,0x2,0x5a,0xfc,0,0,0
RUN-000006,RUN-000006-T0002,RUN-000006-S00,reg_sweep_seq,WRITE,8332,8441,416,1,1,1,1,0xcbe9,0xab654e35,,0xab654e35,0xab654e35,MATCH,,APB_WR,0xcbe9,1,0xab654e35,,1,1,1,0,0x6,0xc3,0x28,0,0,0
RUN-000006,RUN-000006-T0003,RUN-000006-S00,reg_sweep_seq,READ,9290,9648,464,1,1,0,2,0x2ab0,,0x60f9202d,0x60f9202d,0x60f9202d,MATCH,,APB_RD,0x2ab0,0,,0x60f9202d,1,1,1,0,,0x13,0x02,0,0,0
RUN-000006,RUN-000006-T0004,RUN-000006-S01,reg_sweep_seq,WRITE,14958,15044,747,0,3,2,3,0xce3f,0x98c08eec,,0x98c08eec,0x98e08eec,MISMATCH,B_UART_0x24,APB_WR,0xce3f,1,0x98c08eec,,2,1,1,0,0x7,0xb7,0xbe,1,1,0
RUN-000006,RUN-000006-T0005,RUN-000006-S01,reg_sweep_seq,READ,17329,17450,866,0,0,0,1,0x3528,,0xbffe3c40,0xbffe3c40,0xbffe3c40,MATCH,,APB_RD,0x3528,0,,0xbffe3c40,2,1,1,0,,0x2e,0x3d,0,0,0
RUN-000007,RUN-000007-T0000,RUN-000007-S00,reg_sweep_seq,READ,6698,6806,669,1,1,3,3,0x92a0,,0x536b7b29,0x536b7b29,0x536b7b29,MATCH,,APB_RD,0x92a0,0,,0x536b7b29,1,1,1,0,,0x28,0xa1,0,0,0
RUN-000007,RUN-000007-T0001,RUN-000007-S00,reg_sweep_seq,READ,9382,9565,938,1,1,3,1,0x23b6,,0x2f2d02fd,0x2f2d02fd,0x2f2d02fd,MATCH,,APB_RD,0x23b6,0,,0x2f2d02fd,2,1,1,0,,0x2a,0x20,0,0,0
RUN-000007,RUN-000007-T0002,RUN-000007-S00,reg_sweep_seq,READ,13501,13740,1350,0,0,2,2,0x1d8c,,0x589b841f,0x589b841f,0x589b841f,MATCH,,APB_RD,0x1d8c,0,,0x589b841f,1,1,1,0,,0xc3,0xe5,0,0,0
RUN-000007,RUN-000007-T0003,RUN-000007-S00,reg_sweep_seq,WRITE,18654,19020,1865,0,3,3,0,0xc41b,0xcc0206e6,,0xcc0206e6,0xcc0206e6,MATCH,,APB_WR,0xc41b,1,0xcc0206e6,,1,1,1,0,0xd,0x9f,0xa2,0,0,0
RUN-000007,RUN-000007-T0004,RUN-000007-S01,reg_sweep_seq,WRITE,39146,39313,3914,1,0,3,2,0xb4b9,0x2032f674,,0x2032f674,0x2032f774,MISMATCH,B_UART_0x24,APB_WR,0xb4b9,1,0x2032f674,,2,1,1,0,0x3,0x28,0x65,1,1,0
RUN-000007,RUN-000007-T0005,RUN-000007-S01,reg_sweep_seq,READ,46586,46911,4658,1,3,3,1,0x1939,,0x2bb5e1dd,0x2bb5e1dd,0x2bb5e1dd,MATCH,,APB_RD,0x1939,0,,0x2bb5e1dd,2,1,1,0,,0xa4,0x8e,0,0,0
RUN-000007,RUN-000007-T0006,RUN-000007-S01,reg_sweep_seq,READ,52145,52459,5214,1,1,0,0,0xf0f3,,0xdbe42996,0xdbe42996,0xdbe42996,MATCH,,APB_RD,0xf0f3,0,,0xdbe42996,1,1,1,0,,0x50,0x6d,0,0,0
RUN-000007,RUN-000007-T0007,RUN-000007-S01,reg_sweep_seq,WRITE,73569,73876,7356,0,2,2,1,0xeb22,0x2ce613b1,,0x2ce613b1,0x2ce613b1,MATCH,,APB_WR,0xeb22,1,0x2ce613b1,,1,1,1,0,0x3,0xb8,0xc5,0,0,0
RUN-000007,RUN-000007-T0008,RUN-000007-S02,reg_sweep_seq,READ,76936,77250,7693,1,2,2,2,0x220b,,0x1436dacf,0x1436dacf,0x1436dacf,MATCH,,APB_RD,0x220b,0,,0x1436dacf,2,1,1,0,,0x82,0x8a,0,0,0
RUN-000007,RUN-000007-T0009,RUN-000007-S02,reg_sweep_seq,WRITE,92883,93030,9288,1,1,2,0,0x9d5d,0xa42baa36,,0xa42baa36,0xa42baa36,MATCH,,APB_WR,0x9d5d,1,0xa42baa36,,1,1,1,0,0xe,0x04,0xe8,0,0,0
RUN-000008,RUN-000008-T0000,RUN-000008-S00,reg_sweep_seq,READ,4211,4413,210,2,3,1,2,0x83b9,,0x023469e1,0x023469e1,0x023469e1,MATCH,,APB_RD,0x83b9,0,,0x023469e1,1,1,1,0,,0x93,0x0c,0,0,0
RUN-000008,RUN-000008-T0001,RUN-000008-S00,reg_sweep_seq,WRITE,10121,10164,506,1,0,1,3,0x9e8f,0xd746106b,,0xd746106b,0xd746106b,MATCH,,APB_WR,0x9e8f,1,0xd746106b,,2,1,1,0,0xb,0xde,0xb6,0,0,0
RUN-000008,RUN-000008-T0002,RUN-000008-S00,reg_sweep_seq,READ,13638,13777,681,0,0,0,3,0x3f41,,0xcf6c8635,0xcf6c8635,0xcf6c8635,MATCH,,APB_RD,0x3f41,0,,0xcf6c8635,1,1,1,0,,0xf0,0x11,0,0,0
RUN-000008,RUN-000008-T0003,RUN-000008-S00,reg_sweep_seq,WRITE,14218,14605,710,1,2,3,2,0x92af,0x35f9c226,,0x35f9c226,0x35f9c226,MATCH,,APB_WR,0x92af,1,0x35f9c226,,4,1,1,0,0x5,0xee,0x7e,0,0,0
RUN-000008,RUN-000008-T0004,RUN-000008-S01,reg_sweep_seq,READ,20065,20133,1003,0,1,3,0,0x835a,,0x9d42a99c,0x9d42a99c,0x9d42a99c,MATCH,,APB_RD,0x835a,0,,0x9d42a99c,4,1,1,0,,0x68,0x1f,0,0,0
RUN-000008,RUN-000008-T0005,RUN-000008-S01,reg_sweep_seq,WRITE,21933,21965,1096,3,2,0,1,0x02c4,0x07513f09,,0x07513f09,0x07513f09,MATCH,,APB_WR,0x02c4,1,0x07513f09,,4,1,1,0,0xa,0x03,0x11,0,0,0
RUN-000009,RUN-000009-T0000,RUN-000009-S00,uart_loopback_seq,READ,7157,7253,715,1,3,2,2,0xcba1,,0xc705476b,0xc705476b,0xc705476b,MATCH,,APB_RD,0xcba1,0,,0xc705476b,2,1,1,0,,0x4d,0x4e,0,0,0
RUN-000009,RUN-000009-T0001,RUN-000009-S00,uart_loopback_seq,READ,8220,8599,822,0,1,0,0,0xaa5a,,0x60dc3a0b,0x60dc3a0b,0x60dc3a0b,MATCH,,APB_RD,0xaa5a,0,,0x60dc3a0b,2,1,1,0,,0xf2,0xfd,0,0,0
RUN-000009,RUN-000009-T0002,RUN-000009-S00,uart_loopback_seq,WRITE,9700,9743,970,0,1,3,3,0x58d0,0xa48c086d,,0xa48c086d,0xa48c086d,MATCH,,APB_WR,0x58d0,1,0xa48c086d,,2,1,1,0,0x9,0xa2,0xb4,0,0,0
RUN-000009,RUN-000009-T0003,RUN-000009-S00,uart_loopback_seq,READ,17570,17697,1757,0,3,2,3,0xeb52,,0x49fb180b,0x49fb180b,0x49fb180b,MATCH,,APB_RD,0xeb52,0,,0x49fb180b,1,1,1,0,,0xc3,0xfa,0,0,0
RUN-000009,RUN-000009-T0004,RUN-000009-S01,uart_loopback_seq,READ,24345,24572,2434,1,3,0,1,0x9ec3,,0x6c6d797e,0x6c6d797e,0x6c6d797e,MATCH,,APB_RD,0x9ec3,0,,0x6c6d797e,1,1,1,0,,0xc6,0xd5,0,0,0
RUN-000009,RUN-000009-T0005,RUN-000009-S01,uart_loopback_seq,READ,25135,25222,2513,0,1,0,0,0x1642,,0xa5da00b9,0xa5da00b9,0xa5da00b9,MATCH,,APB_RD,0x1642,0,,0xa5da00b9,2,1,1,0,,0x5c,0x2a,0,0,0
RUN-000009,RUN-000009-T0006,RUN-000009-S01,uart_loopback_seq,READ,34411,34639,3441,0,2,3,0,0x1fbf,,0x8dc01dd8,0x8dc01dd8,0x8dc01dd8,MATCH,,APB_RD,0x1fbf,0,,0x8dc01dd8,1,1,1,0,,0x61,0x8a,0,0,0
RUN-000009,RUN-000009-T0007,RUN-000009-S01,uart_loopback_seq,WRITE,36050,36381,3605,1,0,2,3,0x0e19,0x00933e4b,,0x00933e4b,0x00933e4b,MATCH,,APB_WR,0x0e19,1,0x00933e4b,,2,1,1,0,0x9,0xc9,0x00,0,0,0
RUN-000009,RUN-000009-T0008,RUN-000009-S02,uart_loopback_seq,WRITE,52378,52495,5237,0,0,2,2,0xd33e,0xdf6d38b1,,0xdf6d38b1,0xdf6d38b1,MATCH,,APB_WR,0xd33e,1,0xdf6d38b1,,2,1,1,0,0xd,0x24,0x16,0,0,0
RUN-000009,RUN-000009-T0009,RUN-000009-S02,uart_loopback_seq,WRITE,61990,62029,6199,0,2,0,1,0x9ec2,0x15b39a94,,0x15b39a94,0x15b39a94,MATCH,,APB_WR,0x9ec2,1,0x15b39a94,,1,1,1,0,0x5,0x49,0xe3,0,0,0
RUN-000010,RUN-000010-T0000,RUN-000010-S00,reg_sweep_seq,WRITE,51634,51666,1290,1,1,1,3,0xb8ad,0x37f32c5f,,0x37f32c5f,0x37f32c5f,MATCH,,APB_WR,0xb8ad,1,0x37f32c5f,,5,1,1,0,0xe,0x16,0x2b,0,0,0
RUN-000010,RUN-000010-T0001,RUN-000010-S00,reg_sweep_seq,READ,169153,169447,4228,4,1,0,2,0xfcde,,0x7be64d25,0x7be64d25,0x7be64d25,MATCH,,APB_RD,0xfcde,0,,0x7be64d25,1,1,1,0,,0xee,0x65,0,0,0
RUN-000010,RUN-000010-T0002,RUN-000010-S00,reg_sweep_seq,WRITE,181643,182020,4541,1,2,1,3,0xbd39,0x70279eb2,,0x70279eb2,0x70279eb2,MATCH,,APB_WR,0xbd39,1,0x70279eb2,,4,1,1,0,0xb,0x4d,0x24,0,0,0
RUN-000010,RUN-000010-T0003,RUN-000010-S00,reg_sweep_seq,WRITE,271348,271590,6783,3,2,0,2,0x8a2b,0x7619e7eb,,0x7619e7eb,0x7619e7eb,MATCH,,APB_WR,0x8a2b,1,0x7619e7eb,,2,1,1,0,0x6,0x62,0xf0,0,0,0
RUN-000010,RUN-000010-T0004,RUN-000010-S01,reg_sweep_seq,READ,304346,304384,7608,3,2,2,2,0x8617,,0xb7e8df5d,0xb7e8df5d,0xb7e8df5d,MATCH,,APB_RD,0x8617,0,,0xb7e8df5d,3,1,1,0,,0x5e,0xab,0,0,0
RUN-000010,RUN-000010-T0005,RUN-000010-S01,reg_sweep_seq,WRITE,342390,342757,8559,7,3,2,3,0xa84a,0xa652de1a,,0xa652de1a,0xa652de1a,MATCH,,APB_WR,0xa84a,1,0xa652de1a,,7,1,1,0,0x1,0x75,0xef,0,0,0
RUN-000010,RUN-000010-T0006,RUN-000010-S01,reg_sweep_seq,WRITE,392198,392399,9804,6,3,0,1,0xf6fa,0x3599bb87,,0x3599bb87,0x3599bb87,MATCH,,APB_WR,0xf6fa,1,0x3599bb87,,1,1,1,0,0xd,0x0a,0x81,0,0,0
RUN-000010,RUN-000010-T0007,RUN-000010-S01,reg_sweep_seq,WRITE,406745,406996,10168,2,2,3,1,0x3baa,0x1d759875,,0x1d759875,0x1d759875,MATCH,,APB_WR,0x3baa,1,0x1d759875,,4,1,1,0,0xd,0xe9,0x3b,0,0,0
RUN-000010,RUN-000010-T0008,RUN-000010-S02,reg_sweep_seq,WRITE,427413,427453,10685,4,3,3,1,0x0458,0xb6613995,,0xb6613995,0xb6613995,MATCH,,APB_WR,0x0458,1,0xb6613995,,1,1,1,0,0x8,0x3d,0x2f,0,0,0
RUN-000010,RUN-000010-T0009,RUN-000010-S02,reg_sweep_seq,READ,540878,541012,13521,1,0,2,0,0x81db,,0x42c9743e,0x42c9743e,0x42c9743e,MATCH,,APB_RD,0x81db,0,,0x42c9743e,6,1,1,0,,0xc9,0x55,0,0,0
RUN-000011,RUN-000011-T0000,RUN-000011-S00,irq_storm_seq,READ,25676,25998,1283,1,2,1,2,0xb4d0,,0x210acd18,0x210acd18,0x210acd18,MATCH,,APB_RD,0xb4d0,0,,0x210acd18,8,1,1,0,,0xef,0xb1,0,0,0
